ncomps	x	y	amplitude	err amplitude	shift	err shift	width	err width	rms	residual	chi2	dof	redchi2	aic
3.0	0.0	0.0	0.2758253357776746	0.025462107726240888	34.61040290133266	0.10315059693856406	0.5186918883021616	0.08548232241184048	0.06487953645267518	0.09597536876079828	323.283909104166	134.0	2.4125664858519853	349.683909104166
3.0	0.0	0.0	0.25302557902730305	0.02235464080487824	36.284612964973505	0.10892102907290596	0.6123928409075561	0.2075436667458691	0.06487953645267518	0.09597536876079828	323.283909104166	134.0	2.4125664858519853	349.683909104166
3.0	0.0	0.0	0.30827269563942167	0.04243138684526105	37.643309460725234	0.07343234367126257	0.37860087165385115	0.059577777409245095	0.06487953645267518	0.09597536876079828	323.283909104166	134.0	2.4125664858519853	349.683909104166
2.0	1.0	0.0	0.2964486058694632	0.028220843447158375	34.98819645199745	0.13373193477883147	0.9504076359012379	0.14548780815046672	0.05451113817012364	0.10526048281467405	549.538535705902	137.0	4.011230187634321	566.6131625715736
2.0	1.0	0.0	0.4334230157642102	0.0354353363381405	37.41742707647097	0.07202559807331035	0.5974922521330135	0.06991637054574656	0.05451113817012364	0.10526048281467405	549.538535705902	137.0	4.011230187634321	566.6131625715736
2.0	2.0	0.0	0.3255603379347878	0.028208505507047905	34.8581031352424	0.07974975041323551	0.7660823832065649	0.08587430776894488	0.04836632619213321	0.09565225474478768	579.1840094659395	137.0	4.227620507050654	596.2586363316113
2.0	2.0	0.0	0.6440590606259728	0.031998507020652746	37.42977005780584	0.035478762459667	0.5788882591796709	0.03689706088231906	0.04836632619213321	0.09565225474478768	579.1840094659395	137.0	4.227620507050654	596.2586363316113
2.0	3.0	0.0	0.31390812832063997	0.0253605996814467	34.851066613838185	0.050857747215429974	0.5441956694318029	0.05155239051724269	0.04834421448766047	0.07412479239295731	343.959516406282	137.0	2.510653404425416	361.0341432719536
2.0	3.0	0.0	0.8040525668167446	0.025034713032329802	37.42379819885217	0.02011504802186993	0.5585636198663224	0.020396884779389182	0.04834421448766047	0.07412479239295731	343.959516406282	137.0	2.510653404425416	361.0341432719536
2.0	4.0	0.0	0.26859527641860215	0.024285223793159883	34.921204887452454	0.0430490492659828	0.41187549012777436	0.04323593770778295	0.05105861165536837	0.06250630896713003	215.08134923160497	137.0	1.5699368557051459	232.1559760972766
2.0	4.0	0.0	0.8488559836351356	0.02066881933030414	37.3802687162013	0.016004792285262925	0.5693911769986042	0.016098995544762955	0.05105861165536837	0.06250630896713003	215.08134923160497	137.0	1.5699368557051459	232.1559760972766
1.0	5.0	0.0	0.7855569846216207	0.02646298830239419	37.32027367483186	0.02384422569414852	0.6129826910422473	0.023844186725166576	0.06810391524737232	0.08186086022314452	218.7250097655765	140.0	1.5623214983255462	227.01486483804027
3.0	0.0	1.0	0.19039862807893582	0.018390499516453048	34.728093940010254	0.1293764382491457	0.5717468414549788	0.11273368096017534	0.05351479572580326	0.06570982465068306	218.41128259562788	134.0	1.6299349447434917	244.8112825956279
3.0	0.0	1.0	0.199050327691323	0.021803659137404924	36.456596654927665	0.19867005191194684	0.5608911653569034	0.26895801150221954	0.05351479572580326	0.06570982465068306	218.41128259562788	134.0	1.6299349447434917	244.8112825956279
3.0	0.0	1.0	0.3162020571847092	0.06927250360234832	37.5769150434274	0.09779176563662591	0.3891871202551618	0.0628591717899211	0.05351479572580326	0.06570982465068306	218.41128259562788	134.0	1.6299349447434917	244.8112825956279
2.0	1.0	1.0	0.19530475433499037	0.01778861501453539	35.09097808230083	0.15558857088483097	1.0115865070738863	0.16397144509958136	0.042067204194523505	0.06864286004177218	388.4056087071674	137.0	2.8350774358187403	405.48023557283904
2.0	1.0	1.0	0.47106799059487375	0.025909663329271672	37.38252044409667	0.0447938026105313	0.5711377294730393	0.04234696147851563	0.042067204194523505	0.06864286004177218	388.4056087071674	137.0	2.8350774358187403	405.48023557283904
2.0	2.0	1.0	0.1920435879094238	0.017453376845010787	34.986792832434986	0.12110437304278411	0.9551563078133862	0.13360840785395423	0.03886451956679228	0.06555884471469134	414.2705444840258	137.0	3.023872587474641	431.3451713496974
2.0	2.0	1.0	0.6778930176744926	0.022651711707271725	37.40784413970899	0.026019039449148598	0.5548501657808185	0.025631287569098236	0.03886451956679228	0.06555884471469134	414.2705444840258	137.0	3.023872587474641	431.3451713496974
2.0	3.0	1.0	0.1907511131693723	0.017921525496221072	34.88562428201326	0.06442363077962847	0.5892317586007119	0.06630250196042871	0.039033378700299846	0.05474951415280113	283.29495410905736	137.0	2.067846380358083	300.369580974729
2.0	3.0	1.0	0.8011467104314487	0.018258337864343232	37.40230525618742	0.015053887312096748	0.5671753526922387	0.015471857846205302	0.039033378700299846	0.05474951415280113	283.29495410905736	137.0	2.067846380358083	300.369580974729
2.0	4.0	1.0	0.16538134566992832	0.018460599631350175	34.924409437720364	0.05636941634708046	0.4359308888759339	0.056841393940910846	0.042163419235819906	0.048935573179295186	192.6292053443573	137.0	1.4060525937544328	209.70383221002896
2.0	4.0	1.0	0.7904856474496283	0.01586545357475621	37.377606187143606	0.013720183947554455	0.592056721669278	0.013881084854142994	0.042163419235819906	0.048935573179295186	192.6292053443573	137.0	1.4060525937544328	209.70383221002896
1.0	5.0	1.0	0.7034843623090454	0.020172624938563283	37.324361043724366	0.021106752750070706	0.6374249683888051	0.02110664011548338	0.056422096326226634	0.06463541142911225	192.56578924812737	140.0	1.3754699232009098	200.85564432059115
1.0	0.0	2.0	0.40166975944995803	0.01875349389876426	37.28778619017691	0.030432725234042897	0.5645330917451501	0.030433085789772347	0.05118188605164763	0.054937105449536575	179.10768885464006	140.0	1.2793406346760003	187.39754392710384
